epoch,running_loss,running_acc,loss,acc,val_loss,val_acc
0,1.4076517820358276,0.4538281261920929,1.397931694984436,0.4563916027545929,1.0997226238250732,0.5649999976158142
1,1.146194338798523,0.5575000047683716,1.1400476694107056,0.5610659718513489,1.1707067489624023,0.5519999861717224
2,1.0476373434066772,0.5950781106948853,1.0422000885009766,0.5962662100791931,0.9480206966400146,0.6423333287239075
3,1.0029979944229126,0.6169531345367432,1.003330111503601,0.6157901883125305,1.0009634494781494,0.6083333492279053
4,0.9498119354248047,0.6378124952316284,0.9508199691772461,0.6379506587982178,0.9089388847351074,0.6543333530426025
5,0.9133475422859192,0.6532031297683716,0.9060677886009216,0.6554082632064819,0.9442304372787476,0.6426666378974915
6,0.8801193237304688,0.6658593416213989,0.8845887780189514,0.663175106048584,0.9524178504943848,0.6416666507720947
7,0.8537411093711853,0.6799218654632568,0.856597363948822,0.6785663366317749,0.8128231763839722,0.6946666836738586
8,0.8300485014915466,0.6907812356948853,0.8317344188690186,0.6901097297668457,0.8090262413024902,0.6986666321754456
9,0.8186438083648682,0.6917968392372131,0.8156989216804504,0.6941712498664856,0.8414671421051025,0.684666633605957
10,0.7939038872718811,0.7035155892372131,0.7930498123168945,0.7037194967269897,0.757675290107727,0.7260000109672546
11,0.7743152976036072,0.7122656106948853,0.7745790481567383,0.7107025384902954,0.840319812297821,0.6976666450500488
12,0.7554848790168762,0.7206249833106995,0.7647726535797119,0.7161892056465149,0.7455505728721619,0.7256666421890259
13,0.7390663027763367,0.7276562452316284,0.7428669929504395,0.726022481918335,0.7296289205551147,0.7356666326522827
14,0.7305782437324524,0.7294530868530273,0.7270874381065369,0.7309390902519226,0.6976708769798279,0.7486666440963745
15,0.71559739112854,0.7346093654632568,0.711676299571991,0.7369245886802673,0.7163146734237671,0.7429999709129333
16,0.7032708525657654,0.7395312190055847,0.7026384472846985,0.7401310801506042,0.7138665914535522,0.734333336353302
17,0.6883254051208496,0.74476557970047,0.6871523261070251,0.7466153502464294,0.6650426387786865,0.7576666474342346
18,0.6841856837272644,0.7477343678474426,0.6828662753105164,0.7474703788757324,0.7941650748252869,0.7006666660308838
19,0.6599260568618774,0.7533593773841858,0.6636493802070618,0.7526007890701294,0.6521450877189636,0.7593333125114441
