epoch,running_loss,running_acc,loss,acc,val_loss,val_acc
0,1.4968212842941284,0.4793749749660492,1.6740667819976807,0.3998599946498871,1.4811487197875977,0.46639999747276306
1,1.345375657081604,0.5193749666213989,1.409807562828064,0.49507999420166016,1.3963944911956787,0.5047999620437622
2,1.2552286386489868,0.5443750023841858,1.285862922668457,0.5416399836540222,1.2326735258102417,0.5645999908447266
3,1.1952999830245972,0.5793749690055847,1.2021825313568115,0.5742200016975403,1.1284544467926025,0.5956999659538269
4,1.099885106086731,0.6162499785423279,1.1397911310195923,0.5980600118637085,1.2371965646743774,0.5600000023841858
5,1.0948604345321655,0.6118749976158142,1.0922458171844482,0.6164799928665161,1.0481537580490112,0.6274999976158142
6,1.1181069612503052,0.6112499833106995,1.048386573791504,0.6325199604034424,0.9884838461875916,0.6500999927520752
7,0.9931783080101013,0.6443749666213989,1.0085742473602295,0.6449999809265137,1.0720211267471313,0.6283000111579895
8,0.9420114755630493,0.6674999594688416,0.9769719839096069,0.6593999862670898,0.9509167075157166,0.6685999631881714
9,0.9544785022735596,0.6699999570846558,0.9484145641326904,0.6676599979400635,0.958233118057251,0.6679999828338623
10,0.9212368726730347,0.6825000047683716,0.9214481711387634,0.6783199906349182,0.9289909601211548,0.685699999332428
11,0.8777157664299011,0.6924999952316284,0.9026795625686646,0.6884199976921082,0.9376493692398071,0.6728000044822693
12,0.870509922504425,0.6912499666213989,0.8842767477035522,0.6932799816131592,0.9326571226119995,0.686199963092804
13,0.8691303133964539,0.6981250047683716,0.8696026802062988,0.6976999640464783,0.9218006134033203,0.6837999820709229
14,0.8951156139373779,0.6968749761581421,0.8513794541358948,0.706119954586029,0.9130428433418274,0.6773999929428101
15,0.8610614538192749,0.6981250047683716,0.8364882469177246,0.7117800116539001,0.9442338347434998,0.6775000095367432
16,0.8877192735671997,0.7006250023841858,0.8275744915008545,0.7148999571800232,0.8360419869422913,0.714199960231781
17,0.7702061533927917,0.7281249761581421,0.8141772747039795,0.7200999855995178,0.9572988748550415,0.6904999613761902
18,0.820969820022583,0.71875,0.8021564483642578,0.7232599854469299,0.8918230533599854,0.6947000026702881
19,0.776116669178009,0.7318750023841858,0.7903361320495605,0.729640007019043,0.874505877494812,0.7117999792098999
